DATE,ALLLCBW027SBOG
1999-04-14,42.9391
1999-04-21,43.0805
1999-04-28,43.0093
1999-05-05,43.0298
1999-05-12,43.0615
1999-05-19,42.9595
1999-05-26,43.0973
1999-06-02,43.334
1999-06-09,43.2261
1999-06-16,43.2397
1999-06-23,43.3057
1999-06-30,43.1835
1999-07-07,43.1904
1999-07-14,43.134
1999-07-21,43.2192
1999-07-28,43.1534
1999-08-04,43.3825
1999-08-11,43.2159
1999-08-18,43.1825
1999-08-25,43.2476
1999-09-01,43.4196
1999-09-08,43.4075
1999-09-15,43.3786
1999-09-22,43.5188
1999-09-29,43.4451
1999-10-06,43.4022
1999-10-13,43.5205
1999-10-20,43.5101
1999-10-27,43.6756
1999-11-03,43.7599
1999-11-10,43.5659
1999-11-17,43.4847
1999-11-24,43.6501
1999-12-01,43.3822
1999-12-08,43.5923
1999-12-15,43.6163
1999-12-22,43.576
1999-12-29,43.6665
2000-01-05,43.4582
2000-01-12,43.1008
2000-01-19,42.4533
2000-01-26,42.7511
2000-02-02,42.8097
2000-02-09,42.6443
2000-02-16,42.6956
2000-02-23,42.7919
2000-03-01,42.6965
2000-03-08,42.6997
2000-03-15,42.7163
2000-03-22,42.7544
2000-03-29,42.7716
2000-04-05,43.1034
2000-04-12,43.1422
2000-04-19,43.0453
2000-04-26,43.1995
2000-05-03,43.4017
2000-05-10,43.3953
2000-05-17,43.4142
2000-05-24,43.5151
2000-05-31,43.5053
2000-06-07,43.4711
2000-06-14,43.5479
2000-06-21,43.5575
2000-06-28,43.728
2000-07-05,43.9597
2000-07-12,44.4137
2000-07-19,44.4381
2000-07-26,44.6766
2000-08-02,44.8341
2000-08-09,44.8206
2000-08-16,44.922
2000-08-23,44.9995
2000-08-30,44.7288
2000-09-06,45.0612
2000-09-13,44.9138
2000-09-20,45.1074
2000-09-27,45.0617
2000-10-04,44.9928
2000-10-11,45.0431
2000-10-18,45.0243
2000-10-25,45.2366
2000-11-01,45.1478
2000-11-08,45.1597
2000-11-15,45.1092
2000-11-22,45.1767
2000-11-29,45.81
2000-12-06,45.8643
2000-12-13,46.0035
2000-12-20,45.9851
2000-12-27,46.0129
2001-01-03,46.4473
2001-01-10,46.1572
2001-01-17,46.5309
2001-01-24,46.8815
2001-01-31,46.7392
2001-02-07,46.9682
2001-02-14,46.8635
2001-02-21,46.9604
2001-02-28,46.77
2001-03-07,46.6424
2001-03-14,46.7289
2001-03-21,46.6849
2001-03-28,46.6009
2001-04-04,46.9911
2001-04-11,47.3389
2001-04-18,47.3222
2001-04-25,47.4042
2001-05-02,47.1709
2001-05-09,47.2457
2001-05-16,47.2935
2001-05-23,47.3716
2001-05-30,47.1884
2001-06-06,47.3502
2001-06-13,47.4257
2001-06-20,47.5105
2001-06-27,47.6729
2001-07-04,47.896
2001-07-11,48.0719
2001-07-18,48.0304
2001-07-25,48.2342
2001-08-01,48.1589
2001-08-08,48.3108
2001-08-15,48.4136
2001-08-22,48.3903
2001-08-29,48.2335
2001-09-05,47.7985
2001-09-12,48.1282
2001-09-19,48.1008
2001-09-26,48.2235
2001-10-03,49.4218
2001-10-10,49.6372
2001-10-17,49.8415
2001-10-24,49.8963
2001-10-31,49.4765
2001-11-07,49.8422
2001-11-14,49.833
2001-11-21,49.9206
2001-11-28,49.8222
2001-12-05,49.5686
2001-12-12,50.2186
2001-12-19,50.5297
2001-12-26,50.6104
2002-01-02,50.8633
2002-01-09,51.766
2002-01-16,52.1494
2002-01-23,52.1258
2002-01-30,52.4237
2002-02-06,52.9895
2002-02-13,53.0978
2002-02-20,53.1438
2002-02-27,52.9974
2002-03-06,53.1092
2002-03-13,53.3063
2002-03-20,53.3305
2002-03-27,53.4004
2002-04-03,53.2322
2002-04-10,53.6986
2002-04-17,53.7013
2002-04-24,53.8382
2002-05-01,54.2595
2002-05-08,53.9297
2002-05-15,53.9536
2002-05-22,53.9643
2002-05-29,54.0418
2002-06-05,53.9617
2002-06-12,54.1926
2002-06-19,54.1436
2002-06-26,53.9523
2002-07-03,53.8639
2002-07-10,54.1857
2002-07-17,54.0373
2002-07-24,54.3515
2002-07-31,54.0675
2002-08-07,54.0826
2002-08-14,53.2676
2002-08-21,53.2927
2002-08-28,53.5272
2002-09-04,53.6458
2002-09-11,53.3332
2002-09-18,53.3135
2002-09-25,53.3623
2002-10-02,53.0948
2002-10-09,53.3498
2002-10-16,53.5637
2002-10-23,53.6936
2002-10-30,53.7978
2002-11-06,53.9224
2002-11-13,53.9011
2002-11-20,53.9956
2002-11-27,53.954
2002-12-04,53.5847
2002-12-11,53.7769
2002-12-18,53.7953
2002-12-25,53.8629
2003-01-01,53.3166
2003-01-08,53.477
2003-01-15,53.1516
2003-01-22,53.4131
2003-01-29,53.2423
2003-02-05,53.4358
2003-02-12,53.4805
2003-02-19,53.7314
2003-02-26,53.5889
2003-03-05,53.6783
2003-03-12,53.4261
2003-03-19,53.4885
